#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
24317761|2020-04-26T04:32:25.290000|40.8313|14.1447|2.5|BULLETIN-INGV||||Md|1.5|--|5 km E Pozzuoli (NA)|earthquake
24415911|2020-05-13T18:15:13.690000|40.82467|14.09883|1.6|SURVEY-INGV-OV#WinPick||||Md|1.4|--|Ischia e costa Flegrea (Napoli)|earthquake
24523531|2020-05-28T18:47:30.760000|40.821|14.0965|0.5|BULLETIN-INGV||||Md|1.5|--|Ischia e costa Flegrea (Napoli)|explosion
24665731|2020-06-18T19:25:56.440000|40.831|14.14217|2.8|SURVEY-INGV-OV#WinPick||||Md|1.2|--|5 km E Pozzuoli (NA)|earthquake
24816981|2020-07-11T21:22:37.809000|40.83083|14.15|1.4|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km E Pozzuoli (NA)|earthquake
24817011|2020-07-11T21:23:10.779000|40.83083|14.146|1.9|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
24833971|2020-07-14T19:07:08.730000|40.82167|14.13883|0.8|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km SE Pozzuoli (NA)|earthquake
24949401|2020-08-01T03:48:13.619000|40.827|14.14267|1.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km E Pozzuoli (NA)|earthquake
25241051|2020-09-10T01:48:31.799000|40.81783|14.12283|1.1|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Ischia e costa Flegrea (Napoli)|earthquake
25241101|2020-09-10T01:48:57.549000|40.81667|14.1235|0.7|SURVEY-INGV-OV#WinPick||||Md|1.1|--|Ischia e costa Flegrea (Napoli)|earthquake
25252611|2020-09-11T17:32:30.549000|40.828|14.14167|0.3|SURVEY-INGV-OV#WinPick||||Md|1.1|--|5 km E Pozzuoli (NA)|earthquake
25293641|2020-09-18T09:10:25.960000|40.8235|14.13467|1.0|SURVEY-INGV-OV#WinPick||||Md|1.2|--|5 km SE Pozzuoli (NA)|earthquake
25293681|2020-09-18T09:28:17.380000|40.82783|14.13367|1.7|SURVEY-INGV-OV#WinPick||||Md|1.2|--|4 km SE Pozzuoli (NA)|earthquake
25310731|2020-09-20T14:44:16.589000|40.82667|14.1365|1.0|SURVEY-INGV-OV#WinPick||||Md|1.2|--|4 km SE Pozzuoli (NA)|earthquake
25477681|2020-10-09T01:23:18.079000|40.82283|14.12317|1.8|SURVEY-INGV-OV#WinPick||||Md|1.1|--|4 km SE Pozzuoli (NA)|earthquake
25494111|2020-10-15T03:59:33.640000|40.82267|14.13183|0.6|SURVEY-INGV-OV#WinPick||||Md|1.1|--|4 km SE Pozzuoli (NA)|earthquake
25499051|2020-10-15T22:05:53.619000|40.809|14.11433|4.5|SURVEY-INGV-OV#WinPick||||Md|1.5|--|Ischia e costa Flegrea (Napoli)|earthquake
25528881|2020-10-21T03:26:08.670000|40.8375|14.13333|1.1|SURVEY-INGV-OV#WinPick||||Md|1.3|--|4 km E Pozzuoli (NA)|earthquake
25616601|2020-11-04T20:56:57.009000|40.82567|14.142|1.7|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km SE Pozzuoli (NA)|earthquake
25624261|2020-11-06T05:14:49.869000|40.82283|14.117|1.8|SURVEY-INGV-OV#WinPick||||Md|1.2|--|Ischia e costa Flegrea (Napoli)|earthquake
25634321|2020-11-08T04:48:00.150000|40.82283|14.13|2.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|4 km SE Pozzuoli (NA)|earthquake
25673011|2020-11-15T03:14:10.470000|40.827|14.1375|1.3|SURVEY-INGV-OV#WinPick||||Md|1.0|--|4 km SE Pozzuoli (NA)|earthquake
25750391|2020-12-02T19:23:16.630000|40.824667|14.1395|1.7|SURVEY-INGV-OV#WinPick||||Md|1.9|--|5 km SE Pozzuoli (NA)|earthquake
25770531|2020-12-03T22:57:44.099000|40.8205|14.1195|0.9|SURVEY-INGV-OV#WinPick||||Md|1.1|--|4 km SE Pozzuoli (NA)|earthquake
25753471|2020-12-03T23:22:40.960000|40.820167|14.121667|1.5|SURVEY-INGV-OV#WinPick||||Md|1.0|--|Ischia e costa Flegrea (Napoli)|earthquake
25815531|2020-12-19T15:21:42.769000|40.8235|14.136|1.2|SURVEY-INGV-OV#WinPick||||Md|1.0|--|5 km SE Pozzuoli (NA)|earthquake
25816161|2020-12-19T17:10:44.019000|40.824667|14.134833|1.9|SURVEY-INGV-OV#WinPick||||Md|1.0|--|4 km SE Pozzuoli (NA)|earthquake
25817161|2020-12-19T21:54:53.200000|40.831333|14.141833|2.3|SURVEY-INGV-OV#WinPick||||Md|2.7|--|5 km E Pozzuoli (NA)|earthquake
25827491|2020-12-19T21:54:57.430000|40.831333|14.144833|1.7|SURVEY-INGV-OV#WinPick||||Md|2.7|--|5 km E Pozzuoli (NA)|earthquake
25817921|2020-12-20T03:13:48.650000|40.8235|14.14|1.9|SURVEY-INGV-OV#WinPick||||Md|2.4|--|5 km SE Pozzuoli (NA)|earthquake
25817991|2020-12-20T03:20:26.690000|40.8235|14.137|1.5|SURVEY-INGV-OV#WinPick||||Md|1.5|--|5 km SE Pozzuoli (NA)|earthquake
25830621|2020-12-23T01:59:42.290000|40.8333|14.1393|1.8|BULLETIN-INGV||||Md|1.8|--|Campi Flegrei|earthquake
25846601|2020-12-26T12:31:21.960000|40.8307|14.1425|2.2|BULLETIN-INGV||||Md|1.2|--|Campi Flegrei|earthquake
